corridor,median_delay_ratio
IND271001AAA → IND271210AAA,3.1944444444444446
IND173212AAA → IND174103AAA,3.1875
IND734214AAB → IND000000AFF,3.1794871794871793
IND508207AAB → IND507002AAA,3.178571428571429
IND122001AAA → IND122001AAD,3.176923076923077
IND125001AAA → IND335523AAB,3.176470588235294
IND530012AAA → IND764001AAC,3.175438596491228
IND635601AAB → IND635802AAB,3.1666666666666665
IND635601AAB → IND635207AAA,3.1538461538461537
IND842001AAA → IND843126AAA,3.142857142857143
IND742101AAC → IND742303AAB,3.1403940886699506
IND695541AAA → IND695012AAA,3.1333333333333333
IND202001AAC → IND204215AAA,3.1333333333333333
IND781354AAA → IND781335AAA,3.1333333333333333
IND712310AAE → IND712124AAA,3.1315789473684212
IND785001AAA → IND798601AAA,3.129032258064516
IND380006AAB → IND382430AAB,3.126923076923077
IND250221AAA → IND251201AAA,3.125
IND530012AAA → IND535001AAA,3.1203703703703702
IND400072AAB → IND421302AAS,3.1157894736842104
IND712602AAA → IND722154AAA,3.1153846153846154
IND845418AAB → IND842001AAA,3.115302642796249
IND712311AAA → IND700028AAB,3.1146616541353387
IND271210AAA → IND271001AAA,3.111111111111111
IND609602AAA → IND611001AAA,3.111111111111111
IND400064AAB → IND400072AAD,3.105128205128205
IND233001AAA → IND275101AAA,3.1020833333333333
IND431001AAB → IND431136AAC,3.090909090909091
IND421502AAA → IND421302AAR,3.090909090909091
IND400072AAB → IND401104AAB,3.0904761904761906
IND852139AAB → IND854326AAB,3.0889328063241104
IND792120AAB → IND786181AAC,3.088235294117647
IND400064AAB → IND400072AAB,3.083916083916084
IND395023AAD → IND395009AAA,3.078787878787879
IND274402AAA → IND274301AAB,3.0784313725490198
IND201001AAA → IND201007AAA,3.076923076923077
IND441912AAA → IND441107AAB,3.0675
IND732202AAA → IND732204AAB,3.066666666666667
IND485001AAC → IND485771AAA,3.0606060606060606
IND000000AFT → IND410206AAB,3.0588235294117645
IND272207AAB → IND272153AAC,3.0588235294117645
IND603203AAA → IND600044AAD,3.0555555555555554
IND700144AAA → IND743395AAA,3.0476190476190474
IND500018AAA → IND500080AAB,3.041666666666667
IND273155AAA → IND273014AAB,3.04
IND562114AAA → IND560048AAB,3.03125
IND400072AAB → IND400015AAB,3.026143790849673
IND574117AAA → IND576201AAA,3.0238095238095237
IND306401AAB → IND305001AAC,3.0142857142857142
IND742101AAC → IND712311AAA,3.013793103448276
IND742202AAA → IND712311AAA,3.011173184357542
IND826004AAA → IND815351AAA,3.0107655502392348
IND700088AAA → IND712311AAA,3.0
IND742226AAA → IND742102AAB,3.0
IND413517AAA → IND431717AAA,3.0
IND431136AAC → IND431001AAA,3.0
IND768201AAA → IND770001AAA,3.0
IND673592AAA → IND670645AAB,3.0
IND110043AAA → IND000000ACB,3.0
IND110064AAA → IND110046AAA,3.0
IND854326AAB → IND854105AAA,3.0
IND492001AAB → IND492007AAA,3.0
IND204215AAA → IND207001AAA,3.0
IND700053AAA → IND743513AAA,3.0
IND380005AAA → IND382430AAB,3.0
IND110064AAA → IND110005AAA,3.0
IND786184AAA → IND786125AAA,3.0
IND209304AAA → IND209101AAA,3.0
IND302006AAA → IND302014AAB,3.0
IND828401AAB → IND826004AAA,2.9930069930069934
IND246149AAA → IND249407AAA,2.992105263157895
IND210427AAA → IND209304AAA,2.9915254237288136
IND131301AAA → IND131028AAB,2.9885290148448043
IND530012AAA → IND530043AAA,2.9879227053140096
IND560099AAB → IND560077AAA,2.973938223938224
IND574211AAA → IND574216AAA,2.9714285714285715
IND530012AAA → IND531036AAA,2.97140522875817
IND400072AAC → IND400011AAA,2.9705882352941178
IND754142AAA → IND754211AAA,2.9696296296296296
IND712311AAA → IND732103AAB,2.9649296790479625
IND804452AAA → IND804420AAA,2.962121212121212
IND500039AAC → IND501359AAE,2.9583333333333335
IND131028AAB → IND250609AAA,2.9545454545454546
IND632006AAA → IND632402AAA,2.9523809523809526
IND321022AAA → IND121004AAB,2.9511217948717947
IND582101AAB → IND580028AAA,2.946557971014493
IND712311AAA → IND742102AAB,2.9450362822294274
IND421302AAF → IND421302AAR,2.9444444444444446
IND848101AAA → IND844505AAB,2.9411764705882355
IND700028AAB → IND712311AAA,2.9411764705882355
IND854326AAB → IND852201AAA,2.941075514874142
IND721133AAA → IND721434AAB,2.935483870967742
IND175018AAA → IND175001AAA,2.9333333333333336
IND400102AAC → IND421302AAG,2.933333333333333
IND431515AAA → IND431517AAB,2.933333333333333
IND500055AAA → IND500010AAA,2.933333333333333
IND201007AAB → IND201301AAF,2.933333333333333
IND410505AAB → IND410501AAF,2.928571428571429
IND423109AAA → IND423701AAB,2.928571428571429
IND477001AAA → IND474003AAA,2.9284188034188032
IND603301AAA → IND600044AAD,2.927544565842438
IND788713AAA → IND788806AAA,2.9230769230769234
IND400015AAB → IND421302AAG,2.921212121212121
IND222001AAA → IND222136AAA,2.9166666666666665
IND121004AAB → IND121002AAA,2.909090909090909
IND274304AAB → IND274304AAA,2.909090909090909
IND533106AAA → IND533242AAA,2.908743169398907
IND302004AAA → IND302033AAB,2.9
IND224141AAB → IND224122AAA,2.891812865497076
IND131028AAB → IND132103AAA,2.891025641025641
IND000000AFT → IND400701AAA,2.8903508771929824
IND712124AAA → IND712103AAA,2.888888888888889
IND400072AAB → IND400015AAA,2.888888888888889
IND713128AAB → IND731204AAB,2.888888888888889
IND712311AAA → IND700053AAA,2.888888888888889
IND462042AAA → IND462022AAA,2.8846153846153846
IND781018AAB → IND788026AAC,2.8846153846153846
IND791102AAA → IND784168AAB,2.883113311331133
IND000000AFT → IND410210AAA,2.875
IND842001AAA → IND843105AAB,2.875
IND401104AAA → IND400072AAB,2.875
IND124112AAA → IND125001AAA,2.8616473616473614
IND125047AAB → IND125050AAA,2.857142857142857
IND742149AAA → IND742148AAA,2.857142857142857
IND721139AAC → IND721636AAB,2.857142857142857
IND396232AAA → IND396191AAC,2.8571428571428568
IND570020AAA → IND571430AAA,2.8541666666666665
IND781003AAA → IND781018AAB,2.853736089030207
IND700065AAA → IND712311AAA,2.853535353535354
IND411017AAA → IND412105AAC,2.8529411764705883
IND389151AAA → IND457661AAA,2.8528138528138527
IND712103AAA → IND712310AAE,2.850389321468298
IND110085AAB → IND000000ACB,2.85
IND221010AAB → IND222001AAA,2.8484848484848486
IND126116AAA → IND131301AAA,2.846753246753247
IND641062AAD → IND643231AAA,2.8461538461538463
IND852111AAA → IND854311AAA,2.8461538461538463
IND110037AAM → IND781018AAB,2.84535054236484
IND400705AAA → IND421302AAH,2.84
IND811399AAA → IND110044AAB,2.8395833333333336
IND842003AAB → IND483225AAA,2.8380681818181817
IND486889AAA → IND231216AAA,2.8351648351648353
IND410503AAA → IND410505AAB,2.8342391304347827
IND274402AAA → IND274304AAB,2.833333333333333
IND811201AAB → IND813213AAA,2.8253846153846154
IND360410AAA → IND360490AAA,2.8241758241758244
IND501359AAG → IND000000ACN,2.822368421052632
IND431603AAA → IND431401AAA,2.8214285714285716
IND131028AAB → IND110037AAM,2.8173076923076925
IND401209AAB → IND401104AAA,2.8125
IND742303AAB → IND741165AAB,2.810810810810811
IND742102AAB → IND731237AAB,2.8079877112135176
IND401209AAA → IND401104AAA,2.804029304029304
IND852113AAA → IND852139AAB,2.8
IND132001AAA → IND132103AAA,2.798529411764706
IND507002AAA → IND507167AAA,2.7976190476190474
IND573201AAB → IND573103AAA,2.796794871794872
IND247667AAB → IND249407AAA,2.7956349206349205
IND222125AAB → IND222001AAA,2.795138888888889
IND331507AAA → IND302014AAA,2.7933732933732935
IND788151AAA → IND788713AAA,2.7933467741935485
IND400016AAB → IND400072AAD,2.7916666666666665
IND802101AAA → IND802119AAA,2.7916666666666665
IND843329AAB → IND843301AAA,2.789473684210526
IND731237AAB → IND731224AAA,2.789473684210526
IND741121AAA → IND741201AAC,2.789473684210526
IND852131AAA → IND852201AAA,2.787878787878788
IND834002AAB → IND781018AAB,2.7804878048780486
IND396191AAC → IND421302AAG,2.7790697674418605
IND110044AAB → IND201007AAA,2.772727272727273
IND000000AFT → IND421302AAG,2.769230769230769
IND411033AAA → IND413501AAA,2.766855112259732
IND781018AAB → IND712311AAA,2.764705882352941
IND244901AAB → IND243201AAA,2.7636363636363637
IND742101AAC → IND731237AAB,2.761904761904762
IND760003AAB → IND754022AAA,2.76
IND395023AAA → IND411033AAA,2.7575600851840587
IND328001AAA → IND282002AAD,2.7551020408163267
IND742401AAA → IND742101AAC,2.7540983606557377
IND134102AAA → IND174103AAA,2.75
IND262405AAA → IND263153AAB,2.75
IND303603AAB → IND302014AAB,2.7481851179673322
IND583201AAA → IND583101AAA,2.7444444444444445
IND742102AAB → IND712311AAA,2.7418450560652396
IND583119AAA → IND583101AAA,2.7401960784313726
IND302014AAB → IND302023AAA,2.739130434782609
IND110020AAB → IND110037AAM,2.739130434782609
IND802101AAA → IND802158AAB,2.7346938775510203
IND483770AAA → IND842003AAB,2.733562035448828
IND608001AAA → IND609110AAA,2.7333333333333334
IND641062AAD → IND643217AAA,2.731283422459893
IND722202AAA → IND713205AAB,2.7279411764705883
IND799250AAA → IND799008AAA,2.725806451612903
IND742401AAA → IND742102AAB,2.7230501738698463
IND474003AAA → IND475661AAB,2.719715956558062
IND221401AAA → IND221303AAA,2.71875
IND396191AAC → IND396232AAA,2.7142857142857144
IND400072AAB → IND401104AAA,2.7142857142857144
IND273014AAB → IND274001AAA,2.7117117117117115
IND121004AAC → IND121004AAB,2.708333333333333
IND577126AAA → IND577201AAA,2.707692307692308
IND756100AAC → IND758034AAA,2.707317073170732
IND400015AAA → IND400072AAB,2.7058823529411766
IND826004AAA → IND828205AAA,2.705769230769231
IND411033AAA → IND000000AAL,2.7037037037037037
IND400612AAA → IND421302AAR,2.700757575757576
IND380005AAA → IND382421AAA,2.7
IND142026AAA → IND000000ACA,2.7
IND577401AAA → IND562132AAA,2.695852534562212
IND500035AAA → IND500039AAC,2.6931818181818183
IND342301AAA → IND342005AAD,2.6923076923076925
IND305404AAA → IND305001AAC,2.6904404404404403
IND221313AAA → IND232101AAB,2.6842105263157894
IND462022AAA → IND466001AAA,2.6827242524916945
IND443301AAA → IND443201AAA,2.680947580645161
IND396001AAA → IND395023AAD,2.6808510638297873
IND796081AAA → IND788026AAC,2.6717697489283525
IND801103AAA → IND802301AAA,2.6666666666666665
IND741101AAB → IND741502AAB,2.6666666666666665
IND560067AAC → IND562114AAA,2.6666666666666665
IND452001AAC → IND425201AAA,2.6666666666666665
IND562132AAA → IND560002AAA,2.6666666666666665
IND333031AAA → IND331023AAA,2.666256157635468
IND422605AAA → IND423109AAA,2.661111111111111
IND221313AAA → IND276128AAA,2.6593406593406597
IND732138AAA → IND733140AAA,2.659090909090909
IND313001AAB → IND311001AAA,2.6560606060606062
IND791110AAA → IND787001AAA,2.65359477124183
IND845305AAA → IND842001AAA,2.6534653465346536
IND573201AAB → IND575004AAB,2.6533333333333333
IND204101AAA → IND282002AAD,2.653225806451613
IND181152AAB → IND181201AAB,2.65
IND174101AAB → IND134102AAA,2.645833333333333
IND852118AAA → IND852111AAA,2.6441176470588235
IND302004AAA → IND302014AAB,2.642857142857143
IND400011AAA → IND400072AAD,2.642857142857143
IND245101AAA → IND245304AAA,2.641025641025641
IND226004AAA → IND226024AAA,2.6378205128205128
IND500039AAC → IND500035AAD,2.6363636363636362
IND521225AAB → IND521001AAA,2.636024572180781
IND249407AAA → IND131028AAB,2.63265306122449
IND602024AAA → IND600116AAB,2.6294117647058823
IND754202AAA → IND751002AAB,2.629032258064516
IND173220AAA → IND174103AAA,2.628571428571429
IND508207AAB → IND508206AAA,2.6285714285714286
IND301019AAA → IND123001AAA,2.6279178338001867
IND785682AAA → IND785690AAB,2.625874125874126
IND302006AAC → IND302014AAB,2.625
IND110037AAM → IND110024AAA,2.6243478260869564
IND274509AAB → IND274402AAA,2.6222222222222222
IND585314AAA → IND585104AAA,2.6191904047976013
IND124112AAA → IND125005AAA,2.6171171171171173
IND786181AAC → IND786001AAB,2.6142241379310347
IND414001AAA → IND411033AAA,2.6113046844754164
IND841101AAA → IND841207AAB,2.611111111111111
IND844101AAB → IND841207AAB,2.611111111111111
IND788151AAA → IND788806AAA,2.611111111111111
IND533106AAA → IND533003AAA,2.610169491525424
IND712311AAA → IND742101AAC,2.6090706589307917
IND754211AAA → IND754202AAA,2.606060606060606
IND713205AAB → IND723130AAA,2.598916408668731
IND262122AAB → IND244901AAB,2.5966202270381835
IND784110AAA → IND784001AAA,2.595
IND431517AAB → IND411033AAA,2.5931988742964354
IND203390AAA → IND201301AAF,2.59175155631013
IND679303AAA → IND679531AAA,2.591666666666667
IND854335AAA → IND854326AAB,2.591666666666667
IND606801AAB → IND632006AAA,2.590909090909091
IND331022A1B → IND331001A1C,2.590909090909091
IND768004AAD → IND768028AAA,2.59047619047619
IND533401AAA → IND533308AAB,2.5892339544513456
IND713205AAB → IND712311AAA,2.588235294117647
IND784001AAA → IND791111AAC,2.588235294117647
IND125104AAA → IND125005AAA,2.5871559633027523
IND788026AAC → IND788151AAA,2.5852272727272725
IND784125AAA → IND784110AAA,2.5833333333333335
IND712311AAA → IND781018AAB,2.5789473684210527
IND246763AAA → IND246761AAA,2.5789473684210527
IND712406AAA → IND712612AAA,2.5783625730994153
IND205001AAB → IND209625AAA,2.577777777777778
IND425508AAB → IND450331AAA,2.5753676470588234
IND741156AAA → IND742101AAC,2.5753676470588234
IND382721AAA → IND382430AAB,2.569871794871795
IND504251AAA → IND504293AAA,2.5695652173913044
IND742102AAB → IND742121AAB,2.568907113567481
IND741156AAA → IND742102AAB,2.5652173913043477
IND271001AAA → IND271201AAA,2.5652173913043477
IND201306AAA → IND201301AAF,2.5618421052631577
