hub,degree_centrality,betweenness,pagerank,clustering
IND244235AAA,0.001349527665317139,0.007009160568277807,0.00040408223240063915,0.0
IND247667AAA,0.001349527665317139,0.0,0.0004389130276540172,1.0
IND247667AAB,0.0006747638326585695,0.0,0.00044425396113655503,0.0
IND248001AAA,0.002699055330634278,0.0012249173289011236,0.0008241717469873872,0.0
IND248001AAD,0.0020242914979757085,0.00040754642019790035,0.0006669955414415641,0.0
IND249407AAA,0.004723346828609986,0.003719174318698111,0.0020857627423312795,0.16666666666666666
IND250611AAA,0.001349527665317139,0.0008378735234700265,0.0007325640808497301,0.0
IND251001AAA,0.001349527665317139,0.0004191645685657555,0.00045479944960550385,0.0
IND132001AAA,0.0020242914979757085,0.0004191645685657555,0.0004226852667860465,0.6666666666666666
IND132103AAB,0.001349527665317139,0.0,0.00039463866166966437,1.0
IND133004AAA,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND135001AAA,0.001349527665317139,0.00040959668167458063,0.00027101940069387207,0.0
IND134102AAA,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND174103AAA,0.001349527665317139,0.00040914106801309615,0.00027101940069387207,0.0
IND134109AAA,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND134203AAA,0.0020242914979757085,0.0004191645685657555,0.0004751443491280298,1.0
IND140501AAA,0.001349527665317139,0.0,0.00026750350964938367,1.0
IND173025AAA,0.001349527665317139,0.0008182821360261923,0.0003768913014107839,0.0
IND136027AAA,0.001349527665317139,0.0004209870232116936,0.0006072463417438037,0.0
IND132039AAA,0.0006747638326585695,0.0,0.0006628870266987537,0.0
IND136128AAA,0.001349527665317139,0.0008410628191004181,0.0005418069490377353,0.0
IND140001AAA,0.001349527665317139,0.0004191645685657555,0.0003182552242019437,0.0
IND140118AAA,0.001349527665317139,0.0004082298406901271,0.0004171850334204403,0.0
IND140301AAA,0.0020242914979757085,0.0008378735234700265,0.0004196244053465643,0.3333333333333333
IND140901AAA,0.002699055330634278,0.00040731861336715805,0.0006078146863693051,0.6666666666666666
IND140401AAA,0.0020242914979757085,0.0004082298406901271,0.000495679752852003,0.6666666666666666
IND160055AAA,0.0020242914979757085,0.0,0.0006262895731293742,1.0
IND141003AAB,0.001349527665317139,0.0,0.000146482914698331,0.0
IND142026AAA,0.001349527665317139,4.5561366148451686e-07,0.00020561656259513372,0.0
IND141109AAA,0.001349527665317139,0.00040914106801309615,0.0003212905453235935,0.0
IND141115AAA,0.0020242914979757085,0.0008169152950417387,0.0006312819236020574,0.3333333333333333
IND144001AAA,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND144040AAA,0.001349527665317139,0.00040914106801309615,0.00027101940069387207,0.0
IND144401AAB,0.001349527665317139,0.0,0.0004696126170132661,0.0
IND144001AAC,0.001349527665317139,0.0,0.000146482914698331,1.0
IND144527AAA,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND145001AAA,0.001349527665317139,1.3668409844535506e-06,0.0009665746135737387,0.0
IND176201AAA,0.001349527665317139,1.3668409844535506e-06,0.0009665746135737387,0.0
IND147001AAB,0.002699055330634278,0.001042899671138059,0.0005142999229530011,0.0
IND147201AAA,0.001349527665317139,0.00042007579588872456,0.00027772312340301026,0.0
IND147001AAD,0.0020242914979757085,0.00020365930668357903,0.0005179091422521077,0.0
IND147101AAA,0.001349527665317139,0.0,0.0005126262574059477,1.0
IND147105AAA,0.0020242914979757085,0.0004082298406901271,0.0009393049126651812,1.0
IND148023AAA,0.0006747638326585695,0.0,0.0003826889407015407,0.0
IND148028AAA,0.001349527665317139,0.0,0.000146482914698331,0.0
IND148101AAA,0.001349527665317139,0.00042007579588872456,0.0003206062806862034,0.0
IND148102AAA,0.0006747638326585695,0.0,0.0004191772980335069,0.0
IND151001AAA,0.004723346828609986,0.0037328427285426465,0.0008785731005040804,0.06666666666666667
IND151103AAA,0.0006747638326585695,0.0,0.00035129236749679744,0.0
IND151302AAA,0.001349527665317139,0.0008378735234700265,0.00026057316379582396,0.0
IND151505AAA,0.001349527665317139,0.0008269387955943981,0.00036809638583793966,0.0
IND151506AAA,0.001349527665317139,0.0008160040677187697,0.0004595242510515989,0.0
IND152116AAA,0.0006747638326585695,0.0,0.00025421167471460706,0.0
IND140603AAA,0.0006747638326585695,0.0,0.00038629317672226866,0.0
IND160102AAC,0.001349527665317139,0.0,0.000457487031821853,0.0
IND173212AAA,0.001349527665317139,0.00042007579588872456,0.0005326213540396527,0.0
IND174001AAA,0.0020242914979757085,0.002478082704814287,0.0008466474894975901,0.0
IND174307AAA,0.001349527665317139,0.0,0.00036844942856410106,1.0
IND176041AAA,0.001349527665317139,0.0,0.0006932931399586618,1.0
IND181152AAA,0.0020242914979757085,0.000208898863790651,0.0006112231178665785,1.0
IND184104AAA,0.004048582995951417,0.0010465445804299352,0.0007992097343893331,0.8333333333333334
IND160102AAD,0.001349527665317139,0.0,0.000146482914698331,0.0
IND160002AAD,0.0006747638326585695,0.0,0.00021725720494079366,0.0
