source_center,destination_center,avg_actual_time,avg_osrm_time,trip_count,delay_ratio
IND125005AAA,IND335513AAA,156.14285714285714,90.61904761904762,21,1.723068838675775
IND125005AAA,IND335523AAB,204.0,89.8,5,2.271714922048998
IND125005AAA,IND335524AAA,168.07692307692307,108.61538461538461,13,1.5474504249291785
IND125047AAB,IND125051AAA,90.72413793103448,44.62068965517241,29,2.03323029366306
IND125104AAA,IND125005AAA,183.14285714285714,71.85714285714286,7,2.548707753479125
IND125121AAA,IND125001AAA,93.0,25.833333333333332,6,3.6
IND126102AAA,IND126116AAA,43.7,19.7,10,2.218274111675127
IND126112AAA,IND131028AAB,101.59375,46.5625,64,2.1818791946308727
IND126116AAA,IND131301AAA,125.6,43.5,20,2.8873563218390803
IND127021AAA,IND127201AAA,65.0,31.625,24,2.0553359683794468
IND127201AAA,IND124141AAA,71.0,29.375,8,2.4170212765957446
IND131021AAA,IND131028AAA,16.207207207207208,9.99099099099099,111,1.6221821460775474
IND131028AAB,IND000000ACB,105.44868421052631,63.47236842105263,760,1.661332117166608
IND131028AAB,IND110037AAM,96.43333333333334,36.3,30,2.656565656565657
IND131028AAB,IND124001AAB,68.16666666666667,41.583333333333336,12,1.6392785571142285
IND131028AAB,IND124507AAA,73.35,35.9,20,2.043175487465181
IND131028AAB,IND132103AAA,136.66666666666666,35.0,6,3.9047619047619047
IND131028AAB,IND136118AAA,116.47058823529412,60.53921568627451,102,1.9238866396761134
IND131028AAB,IND160002AAC,129.33333333333334,75.38333333333334,240,1.7156754366570859
IND131028AAB,IND201204AAA,81.51851851851852,39.03703703703704,27,2.088235294117647
IND131028AAB,IND244001AAA,172.60526315789474,97.46710526315789,152,1.7709078636517044
IND131028AAB,IND244235AAA,136.3968253968254,87.62698412698413,126,1.5565619056244906
IND131028AAB,IND247667AAA,146.13333333333333,82.7,30,1.767029423619508
IND131028AAB,IND247667AAB,149.0222222222222,82.82222222222222,90,1.7993023879796082
IND131028AAB,IND248001AAA,225.55555555555554,149.66666666666666,18,1.5070527097253155
IND131028AAB,IND248001AAD,239.22222222222223,149.44444444444446,9,1.6007434944237917
IND131028AAB,IND249407AAA,245.0,111.0,7,2.2072072072072073
IND131028AAB,IND250611AAA,106.83333333333333,30.166666666666668,6,3.5414364640883975
IND131028AAB,IND251001AAA,115.28571428571429,61.88095238095238,42,1.8630242400923434
IND131301AAA,IND131028AAB,90.5,31.0,6,2.9193548387096775
IND132001AAA,IND131028AAB,146.66666666666666,55.333333333333336,6,2.650602409638554
IND132001AAA,IND132103AAB,156.0,26.4,5,5.909090909090909
IND132103AAA,IND131028AAB,84.66666666666667,35.0,9,2.4190476190476193
IND132103AAA,IND132001AAA,49.7,29.6,10,1.6790540540540542
IND132103AAB,IND131028AAB,83.5,32.22222222222222,18,2.5913793103448275
IND133004AAA,IND135001AAA,69.72222222222223,38.888888888888886,18,1.7928571428571431
IND134102AAA,IND174103AAA,41.5,14.1875,16,2.9251101321585904
IND134109AAA,IND160002AAC,131.36666666666667,25.183333333333334,60,5.2164129715420255
IND134203AAA,IND140501AAA,48.32142857142857,32.107142857142854,56,1.5050055617352616
IND134203AAA,IND160002AAC,94.4,26.8,5,3.5223880597014925
IND135001AAA,IND173025AAA,90.5,38.388888888888886,36,2.3574529667149062
IND136027AAA,IND132039AAA,55.04761904761905,28.38095238095238,42,1.9395973154362418
IND136118AAA,IND136128AAA,34.22727272727273,24.477272727272727,44,1.3983286908077994
IND136128AAA,IND136027AAA,38.13636363636363,18.59090909090909,44,2.0513447432762835
IND140001AAA,IND140118AAA,46.973684210526315,26.789473684210527,38,1.7534381139489192
IND140118AAA,IND160002AAC,110.50588235294117,73.12941176470588,85,1.5111003861003862
IND140301AAA,IND140001AAA,42.38095238095238,23.214285714285715,42,1.8256410256410256
IND140301AAA,IND140901AAA,28.18421052631579,14.31578947368421,38,1.96875
IND140401AAA,IND000000ACA,88.25,38.666666666666664,12,2.282327586206897
IND140401AAA,IND142401AAA,42.77777777777778,26.88888888888889,9,1.5909090909090908
IND140406AAA,IND140401AAA,31.642857142857142,26.642857142857142,14,1.1876675603217157
IND140501AAA,IND160002AAC,31.535714285714285,15.821428571428571,28,1.9932279909706545
IND140901AAA,IND160002AAC,46.857142857142854,32.642857142857146,84,1.435448577680525
IND140901AAA,IND160055AAA,24.65,13.175,40,1.8709677419354838
IND141003AAB,IND000000ACA,19.0,10.375,8,1.8313253012048192
IND141003AAB,IND142026AAA,42.26190476190476,25.523809523809526,42,1.6557835820895521
IND141109AAA,IND000000ACA,65.0,50.333333333333336,36,1.2913907284768211
IND141115AAA,IND000000ACA,44.51851851851852,30.925925925925927,27,1.4395209580838322
IND142001AAB,IND152026AAA,71.76724137931035,42.62931034482759,116,1.6835187057633973
IND142026AAA,IND141109AAA,50.888888888888886,35.44444444444444,18,1.4357366771159874
IND142401AAA,IND000000ACA,38.25,19.833333333333332,12,1.9285714285714286
IND143001AAA,IND144001AAB,88.78947368421052,41.421052631578945,76,2.1435832274459976
IND144001AAA,IND144040AAA,35.43333333333333,18.266666666666666,30,1.9397810218978102
IND144001AAB,IND000000ACA,87.73913043478261,37.492753623188406,69,2.3401623502126014
IND144001AAB,IND143001AAA,66.91176470588235,44.76470588235294,68,1.4947437582128777
IND144001AAB,IND144401AAB,21.384615384615383,11.884615384615385,26,1.7993527508090612
IND144001AAB,IND160002AAC,319.14285714285717,66.14285714285714,7,4.825053995680347
IND144001AAC,IND000000ACA,72.7,35.425,40,2.052223006351447
IND144001AAC,IND160002AAC,138.83070866141733,60.18503937007874,254,2.3067312095244326
IND144040AAA,IND144001AAB,40.05555555555556,19.166666666666668,18,2.089855072463768
IND144401AAB,IND144001AAB,20.029411764705884,9.794117647058824,34,2.045045045045045
IND144514AAA,IND141115AAA,45.6,28.0,10,1.6285714285714286
IND144527AAA,IND141115AAA,54.875,30.5,8,1.7991803278688525
IND145001AAA,IND176201AAA,43.142857142857146,22.142857142857142,7,1.9483870967741936
IND147001AAB,IND147201AAA,35.0,27.166666666666668,12,1.2883435582822085
IND147001AAB,IND160002AAC,128.0,42.57142857142857,14,3.0067114093959733
IND147001AAD,IND160002AAC,124.1,37.0,10,3.3540540540540538
IND147101AAA,IND147105AAA,30.9375,22.25,16,1.3904494382022472
IND147105AAA,IND160002AAC,491.60714285714283,55.535714285714285,28,8.85209003215434
